Week End,Week End Last Year,Region,Crude Volumes For The Week,Percent Of Capacity,4 Week Average,4 Week Average Last Year,YTD Average,YTD Average Last Year,Unit
04/24/1990,01/02/1990,Western Canada,64.85,76.65,70.74,63.77,69.65,63.77,thousand cubic metres per day
05/01/1990,01/02/1990,Ontario,53.6,51.89,66.46,83.36,77.89,83.36,thousand cubic metres per day
05/01/1990,01/02/1990,Quebec & Eastern Canada,65.98,72.43,72.05,86.05,82.47,86.05,thousand cubic metres per day
05/01/1990,01/02/1990,Western Canada,66.62,78.75,68.45,63.77,69.48,63.77,thousand cubic metres per day
05/08/1990,01/02/1990,Ontario,56.83,55.01,59.89,83.36,76.78,83.36,thousand cubic metres per day
05/08/1990,01/02/1990,Quebec & Eastern Canada,80.82,88.72,71.61,86.05,82.39,86.05,thousand cubic metres per day
05/08/1990,01/02/1990,Western Canada,59.51,70.34,65.58,63.77,68.95,63.77,thousand cubic metres per day
05/15/1990,01/02/1990,Ontario,60.35,58.42,56.49,83.36,75.96,83.36,thousand cubic metres per day
05/15/1990,01/02/1990,Quebec & Eastern Canada,84.91,93.21,75.77,86.05,82.52,86.05,thousand cubic metres per day
05/15/1990,01/02/1990,Western Canada,60.25,71.22,62.81,63.77,68.52,63.77,thousand cubic metres per day
05/22/1990,01/02/1990,Ontario,58.52,56.65,57.33,83.36,75.13,83.36,thousand cubic metres per day
05/22/1990,01/02/1990,Quebec & Eastern Canada,88.6,97.26,80.08,86.05,82.81,86.05,thousand cubic metres per day
05/22/1990,01/02/1990,Western Canada,64.73,76.51,62.78,63.77,68.34,63.77,thousand cubic metres per day
05/29/1990,01/02/1990,Ontario,73.7,71.35,62.35,83.36,75.06,83.36,thousand cubic metres per day
05/29/1990,01/02/1990,Quebec & Eastern Canada,82.8,90.89,84.28,86.05,82.8,86.05,thousand cubic metres per day
05/29/1990,01/02/1990,Western Canada,67.81,80.15,63.08,63.77,68.31,63.77,thousand cubic metres per day
06/05/1990,01/02/1990,Ontario,66.2,64.09,64.7,83.36,74.68,83.36,thousand cubic metres per day
06/05/1990,01/02/1990,Quebec & Eastern Canada,76.81,84.31,83.28,86.05,82.54,86.05,thousand cubic metres per day
06/05/1990,01/02/1990,Western Canada,71.76,84.82,66.14,63.77,68.46,63.77,thousand cubic metres per day
06/12/1990,01/02/1990,Ontario,59.63,57.73,64.51,83.36,74.05,83.36,thousand cubic metres per day
06/12/1990,01/02/1990,Quebec & Eastern Canada,76.92,84.43,81.28,86.05,82.31,86.05,thousand cubic metres per day
06/12/1990,01/02/1990,Western Canada,69.75,82.45,68.52,63.77,68.52,63.77,thousand cubic metres per day
06/19/1990,01/02/1990,Ontario,64.24,62.19,65.94,83.36,73.66,83.36,thousand cubic metres per day
06/19/1990,01/02/1990,Quebec & Eastern Canada,76.97,84.49,78.38,86.05,82.1,86.05,thousand cubic metres per day
06/19/1990,01/02/1990,Western Canada,76.26,90.14,71.4,63.77,68.83,63.77,thousand cubic metres per day
06/26/1990,01/02/1990,Ontario,81.46,78.86,67.88,83.36,73.96,83.36,thousand cubic metres per day
06/26/1990,01/02/1990,Quebec & Eastern Canada,71.68,78.68,75.6,86.05,81.69,86.05,thousand cubic metres per day
06/26/1990,01/02/1990,Western Canada,77.56,91.68,73.84,63.77,69.16,63.77,thousand cubic metres per day
07/03/1990,01/02/1990,Ontario,80.96,78.37,71.58,83.36,74.22,83.36,thousand cubic metres per day
07/03/1990,01/02/1990,Quebec & Eastern Canada,70.07,76.92,73.91,86.05,81.26,86.05,thousand cubic metres per day
07/03/1990,01/02/1990,Western Canada,76.65,90.6,75.06,63.77,69.44,63.77,thousand cubic metres per day
07/10/1990,01/02/1990,Ontario,80.87,78.29,76.88,83.36,74.46,83.36,thousand cubic metres per day
07/10/1990,01/02/1990,Quebec & Eastern Canada,74.82,82.13,73.39,86.05,81.04,86.05,thousand cubic metres per day
